postcode,shopcode,flydist,distance,duration
9700,81990,88497,136741,5024
9800,31124,80264,114172,5502
10000,10600,5483,7938,694
10000,89470,64061,72328,4375
10100,10600,29582,33211,1747
10100,77000,78044,95944,4298
10110,10600,38453,56674,2491
10110,89470,71128,87172,5177
10120,10600,9795,13676,886
10120,89470,56225,64272,3394
10120,77000,107262,126425,4569
10130,10600,31609,40052,2147
10130,89470,36326,42915,2850
10130,77000,111024,129228,5572
10140,10600,35132,41467,2025
10140,89470,81517,96599,5236
10150,10600,11212,15696,921
10150,51100,91830,107711,3754
10160,10600,25952,37672,2389
10160,89470,42030,50962,3311
10160,77000,91354,107353,4399
10170,10600,19167,25118,1407
10170,51100,81111,114348,4455
10180,10600,3157,4027,281
10180,89470,66390,79072,4156
10190,10600,16418,25326,1909
10190,89470,50709,60601,3811
10200,10600,51862,61395,3079
10200,21160,109205,145909,5297
10210,10600,34813,41218,2113
10210,89470,46161,53714,3130
10210,51100,133047,154583,5557
10220,10600,22090,27657,1632
10220,51100,99058,122618,5049
10230,10600,40162,46510,2243
10230,51100,61661,78993,2995
10230,77100,100290,119464,5862
10240,10600,28505,34909,1748
10240,51100,83300,103441,3787
10250,10600,48635,59335,3287
10250,89470,68818,99832,5369
10260,10600,26561,31447,1859
10260,89470,60163,76684,4407
10270,10600,18495,22669,1014
10270,51100,107931,126661,4258
10280,10600,13959,15014,842
10280,89470,72082,90059,4718
10290,10600,29415,34218,1940
10290,89470,58456,66753,3871
10300,10600,6510,8979,866
10300,89470,59388,77823,4442
10310,10600,60303,77887,2795
10310,21160,98692,131916,4473
10320,10600,18524,22649,1274
10320,89470,49772,54503,2927
10320,77000,111156,136640,5022
10330,10600,42956,50831,2533
10330,51100,86843,113051,4572
10340,10600,43004,53793,2835
10340,89470,57410,80349,4200
10350,10600,17597,22857,1264
10350,89470,63261,76177,4434
10360,10600,52417,70190,3450
10360,21160,91843,149439,5726
10370,10600,45737,52261,3061
10370,77100,62442,80824,3929
10380,10600,27655,35959,1946
10380,51100,71432,97817,4035
10390,10600,17119,21163,1279
10390,89470,62284,73362,4084
10400,10600,41001,47418,2550
10400,77000,65197,80369,3580
10400,77100,69404,83408,4056
10410,10600,10366,14655,728
10410,51100,102796,120737,4016
10420,10600,3236,5884,431
10420,89470,63106,72982,3982
10430,10600,8045,10358,566
10430,89470,60332,68272,3654
10440,10600,6399,9460,563
10440,89470,58536,71467,3741
10450,10600,10223,13853,846
10450,89470,61772,69390,3826
10500,10600,38592,46106,2468
10500,51100,98292,125410,5072
10510,10600,24068,28394,1505
10510,77000,85932,103650,4917
10600,10600,5799,9046,627
10600,51100,93654,119760,4439
10700,10600,29984,36276,1956
10700,51100,71352,90119,3525
10700,89470,94501,109047,5709
10800,10600,15322,19917,1041
10800,89470,57852,63648,3354
10800,51100,112845,133282,4485
11000,11000,2257,3753,431
11000,31124,84529,97734,3541
11000,31200,90398,100314,3790
11100,34500,29126,42197,2067
11100,11000,56097,68296,2612
11100,34470,88148,96940,3898
11110,34500,19617,30898,2275
11110,11000,61989,78488,3265
11110,34470,79134,103125,4354
11120,34500,30962,39931,2340
11120,11000,46403,56373,2834
11120,34470,91204,102071,4552
11130,34500,41243,59899,2654
11130,11000,56971,78901,3007
11130,34470,97708,114642,4484
11140,11000,50923,86995,7163
11150,11000,21081,24330,1178
11150,31124,62209,79528,2957
11150,31200,69526,82108,3206
11150,34500,96847,121338,4321
11160,11000,22262,25700,1749
11160,34500,59208,72728,4443
11170,11000,12846,16262,1135
11170,31124,69966,88579,3501
11170,31200,75684,91159,3749
11190,11000,32697,57822,4211
11200,11000,38408,47577,2094
11200,34500,42939,69086,2959
11200,34470,103384,123829,4789
11210,34500,40776,65303,2666
11210,11000,62008,84305,3019
11210,34470,95399,120046,4496
11220,11000,26354,42152,2775
11220,34500,61554,86760,4476
11230,11000,35396,50440,3287
11230,31124,80227,118302,5087
11240,11000,22834,30900,1800
11240,31124,70869,98681,3932
11250,11000,12978,17466,1759
11250,31124,90507,111447,4869
